stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_associated_place,wheelchair_boarding
    540,000540,"Kingstown & High",,  41.450397, -71.500848,,,0,,petr,0
    545,000545,"High before RI-108",,  41.450600, -71.500577,,,0,,,0
    550,000550,"Kingstown before Sweet Fern",,  41.452159, -71.502018,,,0,,,0
    570,000570,"Opposite 1428 Kingstown",,  41.454184, -71.505059,,,0,,,0
    585,000585,"Kingstown before Meadowbrook",,  41.456750, -71.508331,,,0,,,0
    595,000595,"Kingstown before Samuel Rodman",,  41.459516, -71.508756,,,0,,,0
    605,000605,"Marble House (on Bellevue)",,  41.462387, -71.306671,,,0,,maho,0
    615,000615,"Kingstown after Saugatucket",,  41.462456, -71.509463,,,0,,,0
    650,000650,"Opposite 541 Bellevue",,  41.465813, -71.306847,,,0,,,0
    655,000655,"Opposite Rosecliff",,  41.465500, -71.306946,,,0,,,0
    670,000670,"Kingstown before Greenwood",,  41.467617, -71.512248,,,0,,,0
    685,000685,"Kingstown opposite Greenwood",,  41.467638, -71.512128,,,0,,,0
    730,000730,"Bellevue & Ruggles (opposite Stoneacre House)",,  41.468062, -71.305747,,,0,,beru,0
    735,000735,"Ruggles at Carey Mansion",,  41.468288, -71.304314,,,0,,,0
    740,000740,"Bellevue & Ruggles (at Stoneacre House)",,  41.468216, -71.305710,,,0,,beru,0
    745,000745,"Ruggles at Wetmore",,  41.468426, -71.302917,,,0,,,0
    750,000750,"Ruggles opposite Carey Mansion",,  41.468357, -71.304352,,,0,,,0
    755,000755,"Ruggles opposite Wetmore",,  41.468494, -71.302956,,,0,,,0
    760,000760,"Ruggles before Ochre Point",,  41.468605, -71.299660,,,0,,,0
    775,000775,"Ochre Point before Ruggles",,  41.468830, -71.299553,,,0,,,0
    790,000790,"Ochre Point before Victoria",,  41.470005, -71.299744,,,0,,,0
    805,000805,"Kingstown before Rolens",,  41.469874, -71.513576,,,0,,,0
    815,000815,"Kingstown opposite Rolens",,  41.469970, -71.513763,,,0,,,0
    820,000820,"Salve Regina University (Ochre Point/Sheppard)",,  41.470470, -71.299696,,,0,,salv,0
    830,000830,"Salve Regina University (Ochre Point/O'Hare Ctr)",,  41.471004, -71.299942,,,0,,salv,0
    845,000845,"Ochre Point opposite Mcauley Hall",,  41.472290, -71.300186,,,0,,,0
    850,000850,"Ochre Pont at Mcauley Hall",,  41.472301, -71.300026,,,0,,,0
    875,000875,"Ochre Point before Leroy",,  41.473066, -71.300188,,,0,,,0
    880,000880,"Ochre Point after Leroy",,  41.472927, -71.300285,,,0,,,0
    910,000910,"Ochre Point before Webster",,  41.474142, -71.300131,,,0,,,0
    915,000915,"Ochre Point before Webster",,  41.474495, -71.300247,,,0,,,0
    925,000925,"Kingstown opposite Wayside",,  41.474617, -71.517515,,,0,,,0
    935,000935,"Kingstown opposite Farm",,  41.472152, -71.515620,,,0,,,0
    940,000940,"Bellevue before Narragansett",,  41.475525, -71.307938,,,0,,,0
    950,000950,"Narragansett before Bellevue",,  41.475361, -71.307228,,,0,,,0
    955,000955,"Ochre Point before Narragansett",,  41.475548, -71.300102,,,0,,,0
    965,000965,"Narragansett opposite Newport Hall",,  41.475494, -71.302834,,,0,,,0
    985,000985,"Narragansett at Narragansett Hall",,  41.475616, -71.302795,,,0,,,0
   1010,001010,"Bellevue after Dixon",,  41.477150, -71.308090,,,0,,,0
   1035,001035,"Kingstown after Wayside",,  41.474451, -71.517491,,,0,,,0
   1040,001040,"Bellevue after Perry",,  41.478981, -71.308609,,,0,,,0
   1075,001075,"Kingstown after Old North",,  41.480017, -71.522925,,,0,,,0
   1080,001080,"Kingstown after RI-138",,  41.479607, -71.520794,,,0,,,0
   1085,001085,"Kingstown opposite Potter",,  41.480217, -71.524341,,,0,,,0
   1090,001090,"Kingstown After Potter",,  41.480080, -71.524150,,,0,,,0
   1095,001095,"Bellevue before Bowery",,  41.481147, -71.308579,,,0,,,0
   1100,001100,"Bellevue at Bellevue Plaza",,  41.481094, -71.308456,,,0,,,0
   1120,001120,"Upper College before RI-138",,  41.481191, -71.525551,,,0,,,0
   1125,001125,"Kingstown at Graduate Village Apartments",,  41.482005, -71.535882,,,0,,,0
   1140,001140,"Lower College before Bayberry",,  41.482183, -71.529691,,,0,,,0
   1145,001145,"Bellevue & Memorial Blvd (at Tennis Hall Of Fame)",,  41.482517, -71.308556,,,0,,beme,0
   1150,001150,"Bellevue & Memorial Blvd (at Tennis Hall Of Fame)",,  41.482735, -71.308434,,,0,,beme,0
   1175,001175,"Kingstown after Independence",,  41.482872, -71.540778,,,0,,,0
   1190,001190,"Campus at College of Pharmacy",,  41.483385, -71.528185,,,0,,,0
   1195,001195,"Upper College opposite Bayberry",,  41.481443, -71.525411,,,0,,,0
   1200,001200,"Memorial before Cliff Walk",,  41.484757, -71.298914,,,0,,,0
   1205,001205,"Kingstown before Waites Corner",,  41.482979, -71.551555,,,0,,,0
   1210,001210,"Bellevue after Downing",,  41.485195, -71.308685,,,0,,,0
   1215,001215,"Bellevue after Pelham",,  41.485096, -71.308769,,,0,,,0
   1220,001220,"Memorial before Gibbs",,  41.485010, -71.299030,,,0,,,0
   1225,001225,"URI Kingston (Memorial Union)",,  41.484315, -71.529311,,,0,,uri,0
   1230,001230,"Kingston Railroad Station",,  41.484102, -71.560243,,,0,,kirr,0
   1255,001255,"Aquidneck after Purgatory",,  41.490216, -71.284071,,,0,,,0
   1260,001260,"Aquidneck before Purgatory",,  41.490185, -71.284337,,,0,,,0
   1265,001265,"Aquidneck after Newport",,  41.493888, -71.284402,,,0,,,0
   1270,001270,"Aquidneck before Newport",,  41.493973, -71.284549,,,0,,,0
   1275,001275,"Bellevue After Parker",,  41.477394, -71.308022,,,0,,,0
   1300,001300,"Bellevue before Church",,  41.487160, -71.309387,,,0,,,0
   1305,001305,"Bellevue after Catherine",,  41.487183, -71.309288,,,0,,,0
   1315,001315,"Touro before High",,  41.488670, -71.311165,,,0,,,0
   1330,001330,"Touro before Clarke",,  41.489786, -71.313883,,,0,,,0
   1340,001340,"Marlborough before Thames",,  41.490833, -71.315613,,,0,,,0
   1345,001345,"Marlborough opposite Duke",,  41.490967, -71.315254,,,0,,,0
   1365,001365,"Marlborough before Farewell",,  41.491325, -71.313499,,,0,,,0
   1375,001375,"Newport City Hall",,  41.491852, -71.311566,,,0,,ciha,0
   1380,001380,"Newport Transit Center (Stop A)",,  41.491168, -71.317681,,,0,,gace,0
   1381,001381,"Newport Transit Center (Stop D)",,  41.491792, -71.317643,,,0,,gace,0
   1382,001382,"Newport Transit Center (Stop B)",,  41.491319, -71.317594,,,0,,gace,0
   1384,001384,"Newport Transit Center (Stop C)",,  41.491606, -71.317616,,,0,,gace,0
   1395,001395,"Boston Neck after Ferry",,  41.492365, -71.437984,,,0,,,0
   1400,001400,"Boston Neck before Bridgetown",,  41.492409, -71.438150,,,0,,,0
   1420,001420,"Third after Bridge",,  41.492409, -71.318505,,,0,,,0
   1430,001430,"Broadway & Collins (Newport Police Department)",,  41.492751, -71.310805,,,0,,boco,0
   1435,001435,"Broadway after Ayrault",,  41.493536, -71.309679,,,0,,,0
   1450,001450,"Boston Neck before Edgewater",,  41.494847, -71.437896,,,0,,,0
   1455,001455,"Boston Neck opposite Edgewater",,  41.494794, -71.437764,,,0,,,0
   1460,001460,"Tower Hill Park & Ride",,  41.495006, -71.456327,,,0,,,0
   1461,001461,"RI-1 after Gilbert Stuart",,  41.522685, -71.463332,,,0,,,0
   1465,001465,"Third before Walnut",,  41.494671, -71.318955,,,0,,,0
   1475,001475,"Broadway before Cranston",,  41.495030, -71.308822,,,0,,,0
   1480,001480,"Broadway opposite Equality Park",,  41.494197, -71.309200,,,0,,,0
   1495,001495,"Narragansett after Howland",,  41.496155, -71.371926,,,0,,,0
   1505,001505,"North before Narragansett",,  41.496546, -71.374767,,,0,,,0
   1510,001510,"Broadway before Clinton",,  41.496348, -71.308342,,,0,,,0
   1515,001515,"20 Narragansett",,  41.496371, -71.368745,,,0,,,0
   1520,001520,"Narragansett after Grinnell",,  41.496315, -71.371732,,,0,,,0
   1526,001526,"Jamestown Ferry Landing",,  41.496596, -71.367009,,,0,,jame,0
   1530,001530,"Third before Lasalle",,  41.497507, -71.319305,,,0,,,0
   1535,001535,"Boston Neck after Banfield",,  41.497986, -71.436300,,,0,,,0
   1540,001540,"Broadway before Friendship",,  41.497991, -71.307340,,,0,,,0
   1545,001545,"Boston Neck before Pettaquamscutt Lake",,  41.497968, -71.436521,,,0,,,0
   1555,001555,"Broadway opposite Friendship",,  41.498142, -71.307410,,,0,,,0
   1565,001565,"North before Valley",,  41.497866, -71.374603,,,0,,,0
   1575,001575,"Jamestown Ferry Landing",,  41.496774, -71.367207,,,0,,jame,0
   1590,001590,"Broadway before Summer",,  41.499798, -71.306406,,,0,,,0
   1595,001595,"Broadway before Gibbs",,  41.499905, -71.306231,,,0,,,0
   1610,001610,"Boston Neck opposite Riverdell",,  41.500947, -71.433596,,,0,,,0
   1615,001615,"Boston Neck before Riverdell",,  41.500993, -71.433797,,,0,,,0
   1625,001625,"Broadway before Brooks",,  41.501179, -71.305113,,,0,,,0
   1640,001640,"Newport Park & Ride",,  41.502695, -71.317679,,,0,,nppr,0
   1645,001645,"Third Street at Bayside Village",,  41.501711, -71.319863,,,0,,3rbv,0
   1650,001650,"Third Street at Bayside Village",,  41.502116, -71.320053,,,0,,3rbv,0
   1660,001660,"Boston Neck before Indian",,  41.502256, -71.432130,,,0,,,0
   1665,001665,"Broadway before County",,  41.502906, -71.303693,,,0,,,0
   1670,001670,"Broadway after Thurston",,  41.503164, -71.303639,,,0,,,0
   1695,001695,"Third opposite Dyres",,  41.503582, -71.320243,,,0,,,0
   1715,001715,"Third opposite Naval Health Clinic",,  41.504382, -71.320194,,,0,,,0
   1720,001720,"Broadway opposite Canonicus",,  41.505018, -71.301968,,,0,,,0
   1725,001725,"Boston Neck after Miner",,  41.504953, -71.428414,,,0,,,0
   1730,001730,"Boston Neck before Miner",,  41.505015, -71.428620,,,0,,,0
   1735,001735,"Broadway after Canonicus",,  41.504846, -71.302301,,,0,,,0
   1745,001745,"Conanicus before Mt Hope",,  41.504757, -71.364472,,,0,,,0
   1755,001755,"Admiral Kalbfus opposite Rolling Green",,  41.506675, -71.319356,,,0,,akrg,0
   1760,001760,"Broadway & Admiral Kalbfus (before Rowland)",,  41.506191, -71.302662,,,0,,brak,0
   1770,001770,"Broadway & Admiral Kalbfus (opposite Rowland)",,  41.506187, -71.302274,,,0,,brak,0
   1775,001775,"178 JT Connell",,  41.508865, -71.317866,,,0,,,0
   1776,001776,"Conanicus before Mt Hope",,  41.504880, -71.364623,,,0,,,0
   1777,001777,"E Shore before Freebody (RI Turnpike Authority)",,  41.511100, -71.365260,,,0,,,0
   1810,001810,"Admiral Kalbfus at Newport Grand",,  41.507610, -71.313013,,,0,,,0
   1820,001820,"W Main before Dudley",,  41.507229, -71.301742,,,0,,,0
   1835,001835,"Opposite 166 JT Connell",,  41.508102, -71.317583,,,0,,,0
   1850,001850,"Girard before Admiral Kalbfus",,  41.508131, -71.311664,,,0,,,0
   1855,001855,"Girard opposite Sunset",,  41.512696, -71.313353,,,0,,,0
   1860,001860,"Girard before Sunset",,  41.512960, -71.313280,,,0,,,0
   1865,001865,"222 JT Connell",,  41.511546, -71.318059,,,0,,,0
   1870,001870,"Newport Towne Center (Laundromat)",,  41.511921, -71.317341,,,0,,,0
   1875,001875,"Boston Neck before Ferry",,  41.507795, -71.424688,,,0,,,0
   1880,001880,"Boston Neck after Ferry",,  41.507661, -71.425119,,,0,,,0
   1890,001890,"Newport Towne Center (Walmart)",,  41.510790, -71.316869,,,0,,,0
   1895,001895,"Newport Towne Center (Stop & Shop)",,  41.508532, -71.316415,,,0,,nema,0
   1900,001900,"W Main before Dudley",,  41.506577, -71.301524,,,0,,,0
   1905,001905,"Miantonomi Park (Hillside & Eisenhower)",,  41.509760, -71.307770,,,0,,topk,0
   1915,001915,"Hillside before Beacon",,  41.512078, -71.308832,,,0,,,0
   1921,001921,"W Main opposite Linden Park",,  41.510012, -71.302205,,,0,,,0
   1922,001922,"W Main At Linden Park",,  41.510412, -71.302097,,,0,,,0
   1945,001945,"Park & Ride (Wyoming)",,  41.511929, -71.689852,,,0,,wyom,0
   1975,001975,"Hillside opposite Sergeant Greene",,  41.512833, -71.309546,,,0,,,0
   1976,001976,"Hillside before W Evans",,  41.514642, -71.309741,,,0,,,0
   1980,001980,"W Main after Beacon",,  41.513742, -71.301746,,,0,,,0
   1990,001990,"W Main opposite Beacon",,  41.513882, -71.301579,,,0,,,0
   2000,002000,"Girard before Festival Field Apartments",,  41.511778, -71.313000,,,0,,,0
   2005,002005,"Hillside after W Evans",,  41.514646, -71.309865,,,0,,,0
   2010,002010,"Girard after Festival Field Apartments",,  41.511750, -71.313139,,,0,,giff,0
   2015,002015,"W Main opposite Connecticut",,  41.515144, -71.301354,,,0,,,0
   2020,002020,"JT Connell & Maple",,  41.515054, -71.316041,,,0,,gafo,0
   2025,002025,"JT Connell & Maple",,  41.515038, -71.316217,,,0,,gafo,0
   2035,002035,"West Main & East Main (after Smythe)",,  41.515631, -71.300957,,,0,,twmi,0
   2040,002040,"Maple before Girard",,  41.515778, -71.313933,,,0,,,0
   2055,002055,"Maple before John Chaffee",,  41.515920, -71.312632,,,0,,jcma,0
   2060,002060,"Maple at Head Start Center",,  41.516109, -71.312361,,,0,,,0
   2065,002065,"Boston Neck opposite Charlotte",,  41.516749, -71.423412,,,0,,,0
   2070,002070,"Boston Neck after Charlotte",,  41.516702, -71.423240,,,0,,,0
   2075,002075,"West Main & East Main (at Bank of Newport)",,  41.517222, -71.300606,,,0,,twmi,0
   2080,002080,"Aquidneck Shopping Center (E Main)",,  41.517094, -71.299326,,,0,,aqsh,0
   2085,002085,"West Main & East Main (at Newport Market)",,  41.517364, -71.298806,,,0,,twmi,0
   2090,002090,"Coddington before John Chaffee",,  41.518131, -71.313698,,,0,,,0
   2100,002100,"E Main opposite Rego",,  41.517743, -71.297003,,,0,,,0
   2105,002105,"Coddington before W Main",,  41.518233, -71.300648,,,0,,,0
   2125,002125,"E Main & Valley",,  41.518367, -71.294824,,,0,,emva,0
   2140,002140,"Opposite 372 Coddington",,  41.519376, -71.311716,,,0,,,0
   2145,002145,"Coddington before Niagara",,  41.518636, -71.303115,,,0,,,0
   2155,002155,"Coddington after Sherman",,  41.518879, -71.305875,,,0,,,0
   2170,002170,"Coddington opposite Sherman",,  41.518973, -71.305804,,,0,,,0
   2175,002175,"Newport Garage (on Coddington)",,  41.519275, -71.309746,,,0,,miga,0
   2185,002185,"E Main & Valley",,  41.519101, -71.293092,,,0,,emva,0
   2195,002195,"W Main before Maplewood",,  41.519281, -71.299718,,,0,,,0
   2200,002200,"Newport Garage (on Coddington)",,  41.519474, -71.309638,,,0,,miga,0
   2205,002205,"E Main opposite Enterprise",,  41.519548, -71.290906,,,0,,,0
   2210,002210,"E Main after Enterprise",,  41.519677, -71.291209,,,0,,,0
   2215,002215,"351 E Main",,  41.520210, -71.288669,,,0,,,0
   2220,002220,"Opposite 351 E Main",,  41.520400, -71.288541,,,0,,,0
   2230,002230,"Valley opposite Chestnut Hill",,  41.520791, -71.294159,,,0,,,0
   2235,002235,"W Main before Oakwood",,  41.521651, -71.298915,,,0,,,0
   2240,002240,"E Main opposite Forest",,  41.521047, -71.285532,,,0,,,0
   2245,002245,"Boston Neck after Homestead",,  41.521254, -71.424046,,,0,,,0
   2250,002250,"Boston Neck opposite Snuff Mill",,  41.522420, -71.423628,,,0,,,0
   2255,002255,"E Main after Forest",,  41.521105, -71.285845,,,0,,,0
   2260,002260,"2299 Tower Hill",,  41.514921, -71.461385,,,0,,,0
   2265,002265,"E Main before Aquidneck",,  41.521684, -71.283372,,,0,,,0
   2270,002270,"E Main opposite Aquidneck",,  41.521665, -71.284070,,,0,,,0
   2280,002280,"Opposite 15 Valley",,  41.521899, -71.294747,,,0,,,0
   2285,002285,"E Main opposite Johnson",,  41.524240, -71.279175,,,0,,,0
   2290,002290,"E Main after Wyatt",,  41.522861, -71.281137,,,0,,,0
   2295,002295,"Middletown Public Library (on W Main)",,  41.521907, -71.299019,,,0,,amex,0
   2310,002310,"W Main opposite Valley",,  41.524021, -71.298223,,,0,,,0
   2315,002315,"W Main after Woolsey",,  41.524878, -71.297680,,,0,,,0
   2320,002320,"Opposite 1865 Boston Neck",,  41.524558, -71.423991,,,0,,,0
   2325,002325,"Boston Neck before Barbers Heights",,  41.524298, -71.424082,,,0,,,0
   2335,002335,"W Main before Chases",,  41.525923, -71.297526,,,0,,,0
   2340,002340,"E Main before Turner",,  41.525880, -71.276159,,,0,,,0
   2345,002345,"E Main opposite Turner",,  41.526101, -71.276117,,,0,,,0
   2360,002360,"Park & Ride (RI-1A & RI-138) on Boston Neck",,  41.526992, -71.425556,,,0,,rt1a,0
   2361,002361,"Tashtassuc after Helm",,  41.525593, -71.385276,,,0,,,0
   2365,002365,"W Main at All Saints Academy",,  41.527305, -71.296415,,,0,,,0
   2370,002370,"Boston Neck before RI-138 West On-Ramp",,  41.530551, -71.428171,,,0,,,0
   2380,002380,"Naval Undersea Warfare Center (Gate 23)",,  41.529333, -71.307741,,,0,,ga17,0
   2385,002385,"W Main after Access",,  41.528018, -71.296217,,,0,,,0
   2390,002390,"E Main opposite Meadow",,  41.530277, -71.272915,,,0,,,0
   2395,002395,"E Main before Meadow",,  41.529704, -71.273136,,,0,,,0
   2405,002405,"999 W Main",,  41.529581, -71.294749,,,0,,,0
   2410,002410,"Opposite 999 W Main",,  41.529656, -71.294937,,,0,,,0
   2415,002415,"W Main after Forest",,  41.531289, -71.293672,,,0,,,0
   2425,002425,"W Main opposite Forest",,  41.530991, -71.293983,,,0,,,0
   2430,002430,"E Main opposite Oliphant",,  41.531860, -71.271331,,,0,,,0
   2435,002435,"E Main before Oliphant",,  41.532157, -71.271246,,,0,,,0
   2440,002440,"W Main before Vanicek",,  41.534253, -71.292922,,,0,,,0
   2445,002445,"1259 W Main",,  41.533765, -71.292864,,,0,,,0
   2470,002470,"West Main at Stop & Shop (on W Main)",,  41.537421, -71.291981,,,0,,wmss,0
   2475,002475,"Stop & Shop (West Main - Middletown)",,  41.536688, -71.293476,,,0,,stsm,0
   2480,002480,"1397 W Main",,  41.537388, -71.291786,,,0,,,0
   2485,002485,"John H Chafee - Rome Point Preserve",,  41.537313, -71.437687,,,0,,,0
   2495,002495,"E Main opposite Mitchell",,  41.538485, -71.265638,,,0,,,0
   2500,002500,"E Main after Mitchell",,  41.538409, -71.265528,,,0,,,0
   2505,002505,"Boston Neck opposite Gilbert Stuart",,  41.538759, -71.438657,,,0,,,0
   2510,002510,"Boston Neck before Gilbert Stuart",,  41.538893, -71.438993,,,0,,,0
   2515,002515,"W Main after Oliphant",,  41.539573, -71.291406,,,0,,,0
   2520,002520,"W Main before Squantum",,  41.540952, -71.291684,,,0,,,0
   2525,002525,"E Main before Woodland",,  41.541306, -71.263527,,,0,,,0
   2530,002530,"E Main opposite Randall",,  41.540818, -71.264046,,,0,,,0
   2540,002540,"E Main after Paquins",,  41.544757, -71.261342,,,0,,,0
   2545,002545,"E Main after Selina",,  41.545418, -71.260693,,,0,,,0
   2550,002550,"W Main before Thelma",,  41.543599, -71.291582,,,0,,,0
   2555,002555,"Boston Neck after Weaver",,  41.543740, -71.441227,,,0,,,0
   2560,002560,"Boston Neck opposite Weaver",,  41.544070, -71.441132,,,0,,,0
   2570,002570,"Oxbow Farms Apartments",,  41.543702, -71.292799,,,0,,oxbo,0
   2580,002580,"324 E Main",,  41.546485, -71.260125,,,0,,,0
   2585,002585,"RI-4 after W Allenton",,  41.545562, -71.477161,,,0,,,0
   2595,002595,"1776 W Main",,  41.546547, -71.292033,,,0,,,0
   2600,002600,"1761 W Main",,  41.546223, -71.291778,,,0,,,0
   2605,002605,"Greene Lane (Middletown)",,  41.548527, -71.292177,,,0,,grla,0
   2610,002610,"Boston Neck after Weaver/Hamilton Allenton",,  41.548186, -71.441464,,,0,,,0
   2615,002615,"Boston Neck before Salisbury",,  41.548244, -71.441313,,,0,,,0
   2620,002620,"Greene Lane (Middletown)",,  41.548535, -71.291961,,,0,,grla,0
   2625,002625,"E Main before Sandy Point",,  41.550809, -71.257660,,,0,,,0
   2630,002630,"E Main opposite Sandy Point",,  41.550787, -71.257789,,,0,,,0
   2640,002640,"Boston Neck before Waldron",,  41.552524, -71.440770,,,0,,,0
   2650,002650,"Boston Neck opposite Earle",,  41.554690, -71.441097,,,0,,,0
   2660,002660,"Boston Neck opposite Duck Cove",,  41.557389, -71.443037,,,0,,,0
   2665,002665,"E Main opposite Union",,  41.558022, -71.255320,,,0,,,0
   2666,002666,"E Main before Linden",,  41.554072, -71.256748,,,0,,,0
   2667,002667,"E Main opposite Linden",,  41.554152, -71.256923,,,0,,,0
   2670,002670,"E Main before Union",,  41.558492, -71.255379,,,0,,,0
   2675,002675,"Boston Neck after Earle",,  41.554835, -71.440886,,,0,,,0
   2680,002680,"429 Boston Neck",,  41.558567, -71.443893,,,0,,,0
   2685,002685,"W Main before Union",,  41.558869, -71.287668,,,0,,,0
   2695,002695,"Boston Neck after Duck Cove",,  41.557598, -71.442932,,,0,,,0
   2700,002700,"392 Boston Neck",,  41.559494, -71.444361,,,0,,,0
   2705,002705,"Boston Neck before Fairway",,  41.560443, -71.445238,,,0,,,0
   2715,002715,"E Main before Glen",,  41.561010, -71.254190,,,0,,,0
   2720,002720,"Boston Neck before Wamponaug",,  41.562045, -71.446391,,,0,,,0
   2725,002725,"Boston Neck after Beach",,  41.565577, -71.448756,,,0,,,0
   2730,002730,"270 Boston Neck",,  41.562424, -71.446428,,,0,,,0
   2735,002735,"2243 W Main",,  41.562712, -71.286128,,,0,,,0
   2740,002740,"E Main opposite Glen",,  41.561225, -71.254288,,,0,,,0
   2745,002745,"Boston Neck opposite Reynolds",,  41.566591, -71.449903,,,0,,,0
   2750,002750,"Boston Neck before Beach",,  41.565429, -71.448489,,,0,,,0
   2760,002760,"Bayview Apartments",,  41.566189, -71.284417,,,0,,,0
   2765,002765,"Boston Neck before Reynolds",,  41.566625, -71.449812,,,0,,,0
   2770,002770,"E Main before Eyler",,  41.568237, -71.251126,,,0,,,0
   2775,002775,"E Main before Beaupre",,  41.565429, -71.252620,,,0,,,0
   2780,002780,"Wickford (Boston Neck opposite Oakland)",,  41.567678, -71.451148,,,0,,wick,0
   2785,002785,"W Main after Raytheon Entrance",,  41.569880, -71.277513,,,0,,,0
   2810,002810,"W Main opposite Raytheon Entrance",,  41.570219, -71.276891,,,0,,,0
   2870,002870,"E Main before McCorrie",,  41.572289, -71.250954,,,0,,,0
   2875,002875,"E Main opposite McCorrie",,  41.572631, -71.251185,,,0,,,0
   2890,002890,"W Main opposite Scotty",,  41.575766, -71.271670,,,0,,,0
   2900,002900,"Post after Summit View",,  41.572507, -71.462092,,,0,,,0
   2910,002910,"E Main opposite Martens",,  41.575164, -71.251429,,,0,,,0
   2915,002915,"W Main before John",,  41.575631, -71.271932,,,0,,,0
   2920,002920,"Post opposite Juniper",,  41.575557, -71.461085,,,0,,,0
   2925,002925,"Post before Juniper",,  41.575742, -71.461147,,,0,,,0
   2930,002930,"W Main opposite Stringham",,  41.578012, -71.270907,,,0,,,0
   2935,002935,"Post after Halls Rock",,  41.577912, -71.460353,,,0,,,0
   2940,002940,"W Main after Stringham",,  41.577796, -71.271175,,,0,,,0
   2945,002945,"Post after Intrepid",,  41.577688, -71.460236,,,0,,,0
   2955,002955,"E Main opposite Wyatt",,  41.522687, -71.281717,,,0,,,0
   2960,002960,"E Main after Sherwood",,  41.578243, -71.251991,,,0,,,0
   2970,002970,"E Main before Marvel",,  41.574725, -71.251519,,,0,,,0
   2975,002975,"E Main after Fairview",,  41.580506, -71.252359,,,0,,,0
   2985,002985,"E Main before Stubtoe",,  41.580418, -71.252507,,,0,,,0
   2995,002995,"RI-2 after Home Depot Entrance",,  41.585120, -71.501380,,,0,,,0
  29966,029966,"RI-2 before Home Depot Entrance",,  41.584442, -71.500986,,,0,,,0
   3005,003005,"E Main before Pine Tree",,  41.583889, -71.252424,,,0,,,0
   3010,003010,"Post before Huling",,  41.585390, -71.458818,,,0,,,0
   3030,003030,"W Main opposite Melville Elementary",,  41.583198, -71.269433,,,0,,,0
   3035,003035,"E Main after Ethel",,  41.584348, -71.252172,,,0,,,0
   3040,003040,"Opposite 7805 Post",,  41.585783, -71.458554,,,0,,,0
   3045,003045,"Opposite 7760 Post",,  41.586856, -71.458450,,,0,,,0
   3055,003055,"W Main before Bradford",,  41.583362, -71.269629,,,0,,,0
   3060,003060,"Post opposite Huling",,  41.588263, -71.457887,,,0,,,0
   3070,003070,"W Main after King Charles",,  41.591311, -71.266769,,,0,,,0
   3075,003075,"W Main before King Charles",,  41.591358, -71.266927,,,0,,,0
   3080,003080,"Post after Oakdale",,  41.590327, -71.457211,,,0,,,0
   3085,003085,"Post before Oakdale",,  41.590321, -71.457545,,,0,,,0
   3095,003095,"E Main before Hedly",,  41.590421, -71.253780,,,0,,anth,0
   3100,003100,"E Main at Portsmouth Police HQ",,  41.592158, -71.253521,,,0,,,0
   3105,003105,"E Main at Portsmouth Town Hall",,  41.589825, -71.253454,,,0,,anth,0
   3110,003110,"Post opposite Mulberry",,  41.592593, -71.456677,,,0,,,0
   3115,003115,"Post after Mulberry",,  41.592485, -71.456840,,,0,,,0
   3120,003120,"W Main opposite Hedly",,  41.594100, -71.264963,,,0,,,0
   3130,003130,"Post opposide Seawynds",,  41.595082, -71.455897,,,0,,,0
